seccion,titular,enlace_noticia
Violencia de género,Día internacional contra la violencia de género | Los desafíos pendientes para garantizar una real protección,https://www.latercera.com/la-tercera-tv/noticia/dia-internacional-de-la-eliminacion-de-la-violencia-contra-la-mujer-los-desafios-pendientes-para-proteger-a-las-mujeres/HH7JGMH33NC33ISTW2XI665YOA/
Entrevista,"Mónica Zalaquett, ministra de la Mujer y la Equidad de Género: “El feminismo no es de izquierda ni de derecha”",https://www.latercera.com/politica/noticia/monica-zalaquett-ministra-de-la-mujer-y-la-equidad-de-genero-el-feminismo-no-es-de-izquierda-ni-de-derecha/CHW3IUDYVVF6PB2XPQPNOJO2SI/
Ideas,El descubrimiento que plantea la tesis de la “mujer cazadora” en la prehistoria,https://www.latercera.com/culto/2020/11/12/el-descubrimiento-que-plantea-la-tesis-de-la-mujer-cazadora-en-la-prehistoria/
Libros,Simone de Beauvoir: la vida como un experimento filosófico,https://www.latercera.com/culto/2020/11/06/simone-de-beauvoir-la-vida-como-un-experimento-filosofico/
Libros,"Isabel Allende: “Por cualquier cosa que yo diga me caen golpes, pero es parte del precio que uno paga”",https://www.latercera.com/culto/2020/11/01/isabel-allende-por-cualquier-cosa-que-yo-diga-me-caen-golpes-pero-es-parte-del-precio-que-uno-paga/
Oráculo Paula,"“Mi esperanza es modesta, solo espero que los hombres sean honestos”, Jen Richards",https://www.latercera.com/paula/mi-esperanza-es-modesta-solo-espero-que-los-hombres-sean-honestos-jen-richards/
Camino a la Casa Blanca,Anna Deeny Morales: “Biden y los demócratas escucharon a los movimientos feministas después de 2016”,https://www.latercera.com/mundo/noticia/anna-deeny-morales-biden-y-los-democratas-escucharon-a-los-movimientos-feministas-antes-de-2016/AKKYNNKHYVHMTGLNTMBTT4ANO4/
Sociedad,Feminismo en Chile: ¿Quiénes son las mujeres que construyeron el 8M?,https://www.latercera.com/que-pasa/noticia/feminismo-en-chile-quienes-son-las-mujeres-que-construyeron-el-8m/4JXEAL65EFDS3LBPCHHV33G7LM/
La Tercera Pm,De Isabel Allende a Judith Butler: Festival de Autores digital reunirá a más de 100 escritores,https://www.latercera.com/la-tercera-pm/noticia/de-isabel-allende-a-judith-butler-festival-de-autores-digital-reunira-a-mas-de-100-escritores/YOV25QY755EYZFERNE4X6ZM36I/
Feminismo,Revista Time nomina a Lastesis entre las 100 personas más influyentes de 2020,https://www.latercera.com/la-tercera-tv/noticia/revista-time-nomina-a-lastesis-entre-las-100-personas-mas-influyentes-de-2020/2FURSCA2JZF63JSRFGRLJ5X7EY/
Feminismo,Revista Time incluye a Lastesis en listado de las 100 personas más influyentes del mundo en 2020,https://www.latercera.com/nacional/noticia/revista-time-incluye-a-lastesis-entre-las-100-personas-mas-influyentes-del-mundo-el-2020/KD32WY342VCIJIB2ME4V6JD6KY/
La Tercera AM,La Corte Suprema a la medida de Trump,https://www.latercera.com/mundo/noticia/la-corte-suprema-a-la-medida-de-trump/KORJWMHL2BEHJMFZ4S7RKQZ3WE/
Opinión,#NoEstamosTodas: La orfandad de ser mujer,https://www.latercera.com/que-pasa/noticia/noestamostodas-la-orfandad-de-ser-mujer/264IAWXHYNFJPN2LKFS3MBKUFQ/
Libros,Premio Nacional de Literatura: una sola poeta en 80 años,https://www.latercera.com/culto/2020/07/15/premio-nacional-de-literatura-una-sola-poeta-en-80-anos/
Nostalgia,"Vanessa y Vania, las hermanas terribles de Marrón Glacé",https://www.latercera.com/paula/vanessa-y-vania-las-hermanas-terribles-de-marron-glace/
