seccion,titular,enlace_noticia
Corte Suprema,"Presidenta de la Asociación de Magistrados: ""Los jueces tenemos que erradicar ahora los estereotipos y fallar con perspectiva de género""",https://www.latercera.com/reportajes/noticia/presidenta-la-asociacion-magistrados-los-jueces-tenemos-erradicar-ahora-los-estereotipos-fallar-perspectiva-genero/562458/
Feminismo,Columna de opinión de Óscar Contardo: Color de rosa,https://www.latercera.com/reportajes/noticia/columna-opinion-oscar-contardo-color-rosa/562350/
Friends,"""Igual todas quieren casarse"": una mirada feminista sobre Friends",https://www.latercera.com/culto/2019/03/08/una-mirada-feminista-sobre-friends/
#LTenVivo,#LTenVivo | ¿El feminismo es patrimonio de la izquierda?,https://www.latercera.com/la-tercera-tv/noticia/ltenvivo-feminismo-patrimonio-la-izquierda/560953/
Feminismo,Lisa Simpson: la primera feminista que conocí,https://www.latercera.com/culto/2019/03/08/lisa-simpson-primera-feminista/
Día de la Mujer,"Coordinadoras del 8M en Argentina: ""Con la movilización de Ni Una Menos las reivindicaciones de las mujeres marcan agenda en el país""",https://www.latercera.com/mundo/noticia/coordinadoras-del-8m-argentina-la-movilizacion-una-menos-las-reivindicaciones-las-mujeres-marcan-agenda-pais/560047/
Gordofobia,#HistoriasLT | La lucha gorda,https://www.latercera.com/la-tercera-tv/noticia/historiaslt-la-lucha-gorda/505954/
8M,Las mujeres y el trabajo,https://www.latercera.com/paula/las-mujeres-trabajo/
Estudio,Uno de cada tres hombres chilenos se considera feminista,https://www.latercera.com/que-pasa/noticia/uno-tres-hombres-chilenos-se-considera-feminista/559712/
Columna de Opinión,Necesitamos Feminismo,https://www.latercera.com/que-pasa/noticia/necesitamos-feminismo/550294/
Sociedad,"#MujerTeniaQueSer, cómo la publicidad se abre paso a las demandas feministas",https://www.latercera.com/que-pasa/noticia/mujerteniaqueser-la-publicidad-se-abre-paso-las-demandas-feministas/558800/
Sociedad,¿Quiénes se oponen a las demandas sociales de las mujeres?,https://www.latercera.com/que-pasa/noticia/quienes-se-oponen-a-las-demandas-sociales-de-las-mujeres/559388/
La once,Un club de once,https://www.latercera.com/paula/club-de-once/
8M,#HistoriasLT | Atrapada en mi denuncia,https://www.latercera.com/la-tercera-tv/noticia/video-historiaslt-atrapada-en-mi-denuncia/557583/
canon literario,#CuestionaTuCanon,https://www.latercera.com/culto/2019/03/07/cuestionatucanon/
Sociedad,"Decano de la Usach desata furia por llamar a académicas a no participar de huelga del 8 de marzo por considerarla ""el colmo de ridículo""",https://www.latercera.com/que-pasa/noticia/decano-la-usach-desata-furia-llamar-academicas-no-participar-huelga-del-8-marzo-considerarla-colmo-ridiculo/556794/
Empresas & Mercados,Sofofa busca incentivar la llegada de más mujeres al nuevo consejo general de cara a las próximas elecciones,https://www.latercera.com/pulso/noticia/sofofa-busca-incentivara-la-llegada-mas-mujeres-al-nuevo-consejo-general/555919/
Educación,"""Apoderades"" y ""alumnes"" festejan cambio a mixto en liceo José Victorino Lastarria",https://www.latercera.com/nacional/noticia/festejan-cambio-mixto-liceo-lastarria/555833/
Ideas,8 frases para entender las ideas de Rosa Luxemburgo,https://www.latercera.com/culto/2019/03/05/frases-rosa-luxemburgo/
8M,"Guacolda, Ana González e ""Hija de Perra"": ¿Quiénes son las mujeres que rebautizaron las estaciones del Metro?",https://www.latercera.com/la-tercera-pm/noticia/guacolda-ana-gonzalez-e-hija-perra-quienes-las-mujeres-rebautizaron-las-estaciones-del-metro/553823/
Educación,"""Educación Libre de Sexismo"": Mineduc lanza nueva campaña que promueve la docencia sin sesgos de género",https://www.latercera.com/nacional/noticia/educacion-libre-sexismo-mineduc-lanza-nueva-campana-promueve-la-docencia-sin-sesgos-genero/550651/
Feminismo,España se prepara para nueva jornada de movilizaciones,https://www.latercera.com/mundo/noticia/espana-se-prepara-nueva-jornada-movilizaciones/549365/
8 de marzo,Voces del feminismo,https://www.latercera.com/paula/voces-del-feminismo/
Pulso Columnas,¿Premio o castigo?,https://www.latercera.com/pulso/noticia/premio-o-castigo/547672/
Columna de Opinión,"Violencia sexual en grupo: qué hay detrás de ""las manadas""",https://www.latercera.com/que-pasa/noticia/violencia-sexual-grupo-detras-las-manadas/516152/
Columna de Opinión,#TodosVanaCaer: cómo el acoso a Camila Gallardo reavivó la lucha feminista en las redes sociales,https://www.latercera.com/que-pasa/noticia/todosvanacaer-acoso-camila-gallardo-reavivo-la-lucha-feminista-las-redes-sociales/542138/
Premios Oscar,Columna de Mercedes Ducci: Ojo de mujer para Hollywood,https://www.latercera.com/reportajes/noticia/columna-mercedes-ducci-ojo-mujer-hollywood/540328/
Economía & Dinero,"Brecha de ingresos entre hombres y mujeres baja a 12,4% desde Ley de Igualdad Salarial de 2009",https://www.latercera.com/pulso/noticia/brecha-ingresos-14-puntos-desde-se-promulgo-la-ley-igualdad-salarial-2009/535829/
Exposiciones,Guía de arte,https://www.latercera.com/masdeco/guia-de-arte-214/
Empresas & Mercados,Firmas de seguros lideran en participación de mujeres en gerencias,https://www.latercera.com/pulso/noticia/firmas-seguros-lideran-participacion-mujeres-gerencias/518965/
Libros,La mujer rota,https://www.latercera.com/paula/la-mujer-rota/
Pulso Columnas,Directorio y diversidad: mucho ruido y pocas nueces,https://www.latercera.com/pulso/noticia/directorio-diversidad-mucho-ruido-pocas-nueces/510634/
#HistoriasLT,"Antonia Larraín: ""Es dañino que todo lo que ves en la publicidad no te represente""",https://www.latercera.com/la-tercera-tv/noticia/antonia-larrain-danino-lo-ves-la-publicidad-no-te-represente/509144/
Educación,U. de Chile abre inscripciones a curso virtual sobre teorías feministas,https://www.latercera.com/nacional/noticia/u-chile-abre-inscripciones-curso-virtual-teorias-feministas/509195/
Feminismo,"Ayaan, Sandra y todas nosotras",https://www.latercera.com/paula/ayaan-sandra-todas-nosotras/
Mi Historia,"Diana Maffía y su lucha: ""Ninguna feminista pretende pasar de dominada a dominante""",https://www.latercera.com/que-pasa/noticia/diana-maffia-y-su-lucha-ninguna-feminista-pretende-pasar-de-dominada-a-dominante/489667/
Abuso sexual,¿What is a man? | La dura respuesta al video feminista de Gillette,https://www.latercera.com/la-tercera-tv/noticia/what-is-man-la-dura-respuesta-al-video-feminista-gillette/490358/
cómo llegar a la Línea 3,Eloísa Díaz: El gallito entre U. de Chile y Metro por rebautizar estación de línea 3 con nombre de ícono feminista,https://www.latercera.com/la-tercera-pm/noticia/intenso-gallito-u-chile-metro-rebautizar-estacion-linea-3-nombre-icono-feminista/489021/
Simone De Beauvoir,Simone de Beauvoir: una de las mayores precursoras del feminismo en cinco datos,https://www.latercera.com/culto/2019/01/09/simone-beauvoir-feminismo/
Feminismo,Natalia Valdebenito corona su buen momento y se presenta ante un lleno Teatro Caupolicán,https://www.latercera.com/culto/2019/01/05/natalia-valdebenito-caupolican-sin-miedo/
Reportajes,¿Chistes Prohibidos? El humor también cambió,https://www.latercera.com/reportajes/noticia/chistes-prohibidos-el-humor-tambien-cambio/471724/
Teatro,Santiago a Mil: orgullo gay y feminista,https://www.latercera.com/paula/orgullo-gay-feminista/
Feminismo,Mujeres desnudas,https://www.latercera.com/paula/mujeres-desnudas/
Pregunta del día,¿Por qué el 2018 fue tan importante para el feminismo?,https://www.latercera.com/que-pasa/noticia/2018-fue-tan-importante-feminismo/462557/
Sociedad,El año en que dejamos de mirar el piropo como un halago,https://www.latercera.com/que-pasa/noticia/ano-dejamos-mirar-piropo-halago/464221/
Lenwa Dura,"Lenwa Dura, de Tiro de Gracia: ""Hay miles de Nábila en el anonimato sufriendo violencia todos los días""",https://www.latercera.com/culto/2018/12/26/lenwa-dura-nabila-rifo/
La flor de la vejez,"Irma Zepeda Ortiz, una vejez que se superpuso al dolor",https://www.latercera.com/paula/una-vejez-que-se-superpuso-al-dolor/
Protestas en Valparaíso,Columna de Héctor Soto: ¿Algo que nos una?,https://www.latercera.com/reportajes/noticia/columna-hector-soto-algo-nos-una/425968/
#NoLoDejesPasar,#Nolodejespasar: Se han cometido 35 femicidios y 104 femicidios frustrados en lo que va del 2018,https://www.latercera.com/nacional/noticia/nolodejespasar-se-cometido-35-femicidios-104-femicidios-frustrados-lo-va-del-2018/417412/
Científica,La vida secreta de las rocas,https://www.latercera.com/tendencias/noticia/la-vida-secreta-las-rocas/404644/
Feminismo,También el pasado fue femenino: Flor Pucarina,https://www.latercera.com/paula/tambien-pasado-fue-femenino-flor-pucarina/
Diputada RN,Las charlas feministas y provida de Ximena Ossandón,https://www.latercera.com/politica/noticia/las-charlas-feministas-provida-ximena-ossandon/385383/
Sename,"Patricia Muñoz: ""Seré la piedra en el zapato de muchos""",https://www.latercera.com/paula/patricia-munoz-sere-la-piedra-en-el-zapato-de-muchos/
Feminismo,She persisted,https://www.latercera.com/paula/she-persisted/
Colegio Médico,"Izkia Siches Pastén: ""Quisiera seducir a todos con el feminismo""",https://www.latercera.com/paula/izquia-siches-pasten-quisiera-seducir-todos-feminismo/
Catherine Millet,"Catherine Millet, escritora e intelectual francesa: ""Muchos de los varones que fueron denunciados por el #MeToo da la casualidad de que eran judíos""",https://www.latercera.com/culto/2018/10/11/catherine-millet-escritora-e-intelectual-francesa-muchos-los-varones-fueron-denunciados-metoo-da-la-casualidad-judios/
Feminismo,Feminismo y reggaetón: Estamos vivas y perreando,https://www.latercera.com/paula/feminismo-reggaeton-estaos-vivas-perreando/
Feminismo,"""Me daría vergüenza ser un hombre machista y no darme cuenta de que las relaciones de pareja se construyen entre dos"". El Si yo fuera hombre de Antonella Ríos",https://www.latercera.com/paula/me-daria-verguenza-hombre-machista-no-darme-cuenta-las-relaciones-pareja-se-construyen-dos-hombre-antonella-rios/
mujer,No quiero ser madre,https://www.latercera.com/paula/no-quiero-madre/
Andrea Giunta,"Andrea Giunta: ""Tenemos que transformar desde el feminismo los presupuestos de un mundo del arte que es patriarcal, blanco y racista""",https://www.latercera.com/paula/arte-y-mujeres-feminismo/
Paramore,"La razón por la que Paramore ya no tocará ""Misery Business""",https://www.latercera.com/culto/2018/09/10/la-razon-la-paramore-ya-no-tocara-misery-business/
Feminismo,Estudio denuncia la exclusión de mujeres de puestos científicos de prestigio,https://www.latercera.com/tendencias/noticia/estudio-denuncia-la-exclusion-mujeres-puestos-cientificos-prestigio/307977/
Feminismo,Columna de género: El año de mujeres y de la sororidad,https://www.latercera.com/tendencias/noticia/columna-genero-ano-mujeres-la-sororidad/302781/
Abuso,La férrea defensa de la diputada Karol Cariola a la ministra Isabel Plá,https://www.latercera.com/la-tercera-tv/noticia/la-ferrea-defensa-la-diputada-karol-cariola-la-ministra-isabel-pla/298034/
mujeres,También el pasado es femenino: Marta Colvin,https://www.latercera.com/paula/tambien-pasado-femenino-marta-colvin/
Feminismo,Columna de Género: ¿Dónde están las mujeres en computación y tecnología?,https://www.latercera.com/tendencias/noticia/columna-genero-donde-estan-las-mujeres-computacion-tecnologia/289304/
María Blanco,"María Blanco, académica: ""Me parece que recurrir al Estado hace dependiente a la mujer""",https://www.latercera.com/culto/2018/08/13/maria-blanco-academica-me-parece-recurrir-al-dependiente-a-la-mujer/
Reportajes,A 24 años del minuto feliz: La resistencia del café con piernas,https://www.latercera.com/reportajes/noticia/a-24-anos-del-minuto-feliz-la-resistencia-del-cafe-con-piernas/278026/
Columna,Manual para trogloditas desorientados,https://www.latercera.com/paula/manual-trogloditas-desorientados/
Entrevistas,Todas las miradas de Claudia Burr,https://www.latercera.com/paula/todas-las-miradas-claudia-burr/
Feminismo,"Realizan ""pañuelazo"" frente a Embajada de Argentina en apoyo al proyecto sobre aborto libre",https://www.latercera.com/nacional/noticia/realizan-panuelazo-frente-embajada-argentina-apoyo-al-proyecto-aborto-libre/274811/
Feminismo,"PS aprueba protocolo contra violencia de género, acoso y abuso sexual",https://www.latercera.com/nacional/noticia/ps-aprueba-protocolo-violencia-genero-acoso-abuso-sexual/272373/
Feminismo,Si yo fuera hombre: Karol Cariola,https://www.latercera.com/paula/hombre-karol-cariola/
Feminismo,La mujer según Zadie Smith,https://www.latercera.com/tendencias/noticia/la-mujer-segun-zadie-smith/268360/
Feminismo,"Columna de Educación: Género y discurso, ""calladita más bonita""",https://www.latercera.com/tendencias/noticia/columna-educacion-genero-discurso-calladita-mas-bonita/262671/
Feminismo,Experta en educación no sexista dictará charla en U. de Chile en seminarios permanentes tras tomas feministas,https://www.latercera.com/nacional/noticia/experta-educacion-no-sexista-dictara-charla-u-chile-seminarios-permanentes-tras-tomas-feministas/259988/
Aborto,"""Exigimos que se hagan cargo"": Presentan denuncia por violencia en marcha pro aborto libre",https://www.latercera.com/nacional/noticia/exigimos-se-hagan-cargo-presentan-denuncia-violencia-marcha-pro-aborto-libre/259453/
Protesta,Manifestación feminista por mujeres agredidas termina con incidentes,https://www.latercera.com/nacional/noticia/realizan-manifestacion-rechazo-ataque-mujeres-marchar-aborto-libre/258573/
Feminismo,"Dirigentas por ataque en marcha Pro Aborto: ""Nosotras las feministas movilizadas no tenemos miedo""",https://www.latercera.com/nacional/noticia/dirigentas-ataque-marcha-pro-aborto-nosotras-las-feministas-movilizadas-no-tenemos-miedo/257793/
Feminismo,"""Recuerda los peores años de la dictadura"": Bachelet repudia ataque a mujeres en marcha por aborto libre",https://www.latercera.com/nacional/noticia/recuerda-los-peores-anos-la-dictadura-bachelet-repudia-ataque-mujeres-marcha-aborto-libre/257525/
Feminismo,Tres mujeres y un carabinero fueron agredidos en medio de marcha por aborto libre,https://www.latercera.com/nacional/noticia/tres-mujeres-carabinero-agredidos-medio-marcha-aborto-libre/257041/
Edición Aniversario,Jane Austen y los pechos desnudos,https://www.latercera.com/cultura/noticia/jane-austen-los-pechos-desnudos/257006/
Edición Aniversario,Chicas superpoderosas,https://www.latercera.com/politica/noticia/chicas-superpoderosas/257051/
Edición Aniversario,"Patricia Matte, consejera de Libertad y Desarrollo: ""Si naciera de nuevo me habría metido más en las empresas""",https://www.latercera.com/negocios/noticia/patricia-matte-consejera-libertad-desarrollo-naciera-nuevo-me-habria-metido-mas-las-empresas/257004/
Feminismo,La estrategia detrás los pañuelos verdes y el debate por el aborto libre,https://www.latercera.com/nacional/noticia/la-estrategia-detras-los-panuelos-verdes-debate-aborto-libre/257221/
Feminismo,Sexta marcha por aborto libre y gratuito se desarrolla en Santiago,https://www.latercera.com/nacional/noticia/sexta-marcha-aborto-libre-gratuito-se-desarrolla-santiago/256771/
Movilización,"""No bastan tres causales"": Movimiento feminista alista nueva marcha por aborto",https://www.latercera.com/nacional/noticia/no-bastan-tres-causales-movimiento-feminista-alista-nueva-marcha-aborto/255391/
Feminismo,Umce: piden despido de 23 académicos y funcionarios por acoso,https://www.latercera.com/nacional/noticia/umce-piden-despido-23-academicos-funcionarios-acoso/246767/
Feminismo,El mundo del arte redescubre a sus mujeres,https://www.latercera.com/culto/2018/07/16/mundo-del-arte-redescubre-a-sus-mujeres/
Feminismo,"Columna de género: Las ""pequeñas humillaciones"" que fundamentan el malestar social",https://www.latercera.com/tendencias/noticia/columna-genero-las-pequenas-humillaciones-fundamentan-malestar-social/242267/
Feminismo,Académicas de la U. de Chile piden renuncia de Carlos Carmona,https://www.latercera.com/nacional/noticia/academicas-la-u-chile-piden-renuncia-carlos-carmona/235223/
Feminismo,María José Vasconcelos: la mujer que respira fútbol,https://www.latercera.com/paula/maria-jose-vasconcelos-la-mujer-respira-futbol/
Feminismo,"Mad, sad, bad: Chilenas con calle",https://www.latercera.com/paula/mad-sad-bad-chilenas-calle/
Expresidenta,Michelle Bachelet irrumpe defendiendo su legado feminista,https://www.latercera.com/politica/noticia/michelle-bachelet-irrumpe-defendiendo-legado-feminista/232687/
Arte,Metáfora feminista,https://www.latercera.com/masdeco/metafora-feminista/
Acoso,Corte de Apelaciones revoca desvinculación de docente acusado de acoso sexual en U. Austral,https://www.latercera.com/nacional/noticia/corte-apelaciones-revoca-desvinculacion-docente-acoso/223394/
Hub Sustentabilidad,Estudio: mujeres de nuevas generaciones siguen a cargo del cuidado,https://www.latercera.com/pulso/noticia/estudio-mujeres-nuevas-generaciones-siguen-cargo-del-cuidado/221732/
Hub Sustentabilidad,"WoomUp Emprende, las mentorías para mujeres de negocios",https://www.latercera.com/pulso/noticia/woomup-emprende-las-mentorias-mujeres-negocios/221730/
Pulso Columnas,Más convicción en la justicia,https://www.latercera.com/pulso/noticia/mas-conviccion-la-justicia/221731/
Feminismo,"Con apoyo transversal, Cámara realizará sesión por femicidios",https://www.latercera.com/politica/noticia/apoyo-transversal-camara-realizara-sesion-femicidios/221679/
Toma estudiantil,Entre toma y toma,https://www.latercera.com/reportajes/noticia/la-columna-de-hector-soto-entre-toma-y-toma/217321/
Feminismo,"Evelyn Matthei y el movimiento feminista: ""Seamos justos las tomas también ayudan a poner el tema en el tapete""",https://www.latercera.com/politica/noticia/evelyn-matthei-movimiento-feminista-seamos-justos-las-tomas-tambien-ayudan-poner-tema-tapete/218215/
Fútbol,Los nuevos aires del fútbol,https://www.latercera.com/paula/los-nuevos-aires-del-futbol/
Deconstrucción,Los otros clubes de Toby,https://www.latercera.com/tendencias/noticia/los-otros-clubes-toby/216683/
Economía & Dinero,"Hacienda, tierra de hombres. Ni en el Ministerio ni en comisiones hay mujeres en primera línea",https://www.latercera.com/pulso/noticia/hacienda-tierra-hombres-ministerio-comisiones-mujeres-primera-linea/215772/
Tomas feministas,U. Central informa fin de toma tras acuerdo con grupos feministas,https://www.latercera.com/nacional/noticia/u-central-informa-fin-toma-tras-acuerdo-grupos-feministas/214281/
Feminismo,Petitorio de alumnas de U. de Chile incluye participación en presupuesto,https://www.latercera.com/nacional/noticia/petitorio-alumnas-u-chile-incluye-participacion-presupuesto/211456/
Feminismo,Estudiantes de la U. de Chile entregarán hoy petitorio unificado a rector Vivaldi,https://www.latercera.com/nacional/noticia/estudiantes-la-u-chile-entregaran-hoy-petitorio-unificado-rector-vivaldi/210717/
Feminismo,"Andrea Arístegui: ""Normalmente me dicen 'tan dulce que se ve, pero tan puntúa que es'""",https://www.latercera.com/paula/andrea-aristegui-normalmente-me-dicen-tan-dulce-se-ve-tan-puntua/
Cambio Social,"Columna de Fernando Villegas: ""Un paso adelante, dos atrás...""",https://www.latercera.com/reportajes/noticia/columna-fernando-villegas-paso-adelante-dos-atras/208174/
Jessa Crispin,"Jessa Crispin, escritora feminista: ""La palabra 'empoderamiento' es puro narcisismo""",https://www.latercera.com/culto/2018/06/16/jessa-crispin-escritora-feminista-la-palabra-empoderamiento-puro-narcisismo/
Feminismo,¿Compañeros o compañeres? un nuevo debate,https://www.latercera.com/nacional/noticia/companeros-companeres-nuevo-debate/208254/
Feminismo,Movimiento feminista cuestiona al gobierno tras serie de femicidios,https://www.latercera.com/nacional/noticia/movimiento-feminista-cuestiona-al-gobierno-tras-serie-femicidios/206768/
Feminismo,La ola feminista desembarca en la U. de Los Andes,https://www.latercera.com/paula/la-ola-feminista-desembarca-la-u-los-andes/
Feminismo,Movimiento feminista convoca a velatón frente a La Moneda tras serie de femicidios,https://www.latercera.com/nacional/noticia/movimiento-feminista-convoca-velaton-frente-la-moneda-tras-serie-femicidios/205302/
Feminismo,"Lucrecia Martel, cineasta argentina, y el movimiento feminista: ""Ya no emergen unas pocas heroínas, sino que todas pensamos así""",https://www.latercera.com/paula/lucrecia-martel-cineasta-argentina-movimiento-feminista-ya-no-emergen-unas-pocas-heroinas-todas-pensamos-asi/
Feminismo,Feministas chilenas llaman a diputados argentinos a aprobar Ley de Aborto,https://www.latercera.com/politica/noticia/feministas-chilenas-llaman-diputados-argentinos-aprobar-ley-aborto/202795/
Opinión,Liberen la teta,https://www.latercera.com/paula/liberen-la-teta/
Acoso,"Camila Vallejo: ""Feliz habría protestado pechugas al aire""",https://www.latercera.com/paula/camila-vallejo-feliz-habria-protestado-pechugas-al-aire/
Feminismo,"""¡Corran, corran, vamos, rápido!"": diario de la toma feminista en la UC",https://www.latercera.com/paula/corran-corran-rapido-diario-la-toma-feminista-la-uc/
Educación Superior,Rector de la PUC aborda temática feminista en discurso y compromete lucha contra actos de violencia sexual,https://www.latercera.com/nacional/noticia/rector-la-puc-aborda-tematica-feminista-discurso-compromete-lucha-actos-violencia-sexual/197798/
Pulso Columnas,Ideas con convicción,https://www.latercera.com/pulso/noticia/ideas-con-conviccion/196887/
Feminismo,Pechos al aire: doce figuras opinan sobre la nueva forma de protestar,https://www.latercera.com/paula/pechos-al-aire-doce-figuras-opinan-nueva-forma-protesta/
Región del Biobío,"""No los queremos acá, los queremos estudiando"": Rector de la UdeC encaró a encapuchados que causaban desórdenes en la universidad",https://www.latercera.com/nacional/noticia/no-los-queremos-aca-los-queremos-estudiando-rector-la-udec-encaro-encapuchados-causaban-desordenes-la-universidad/195391/
Sex and the City,Sex and the city y las mujeres imperfectas,https://www.latercera.com/culto/2018/06/06/sex-and-the-city-las-mujeres-imperfectas/
Feminismo,Marcha feminista convoca a 15 mil personas en Santiago,https://www.latercera.com/nacional/noticia/marcha-feminista-se-tomara-nuevamente-centro-santiago/194446/
Feminismo,Una chilena en la apertura feminista de Arabia Saudita,https://www.latercera.com/paula/una-chilena-la-apertura-feminista-arabia-saudita/
Feminismo,Yo elegí el apellido de mi madre,https://www.latercera.com/paula/elegi-apellido-madre/
Gobierno,Ministras defienden agenda mujer de Piñera ante críticas por cuenta pública,https://www.latercera.com/politica/noticia/ministras-defienden-agenda-mujer-pinera-ante-criticas-cuenta-publica/190879/
Feminismo,"Cinco historiadoras ante la ""ola feminista""",https://www.latercera.com/culto/2018/06/03/cinco-historiadoras-ante-la-ola-feminista/
Feminismo,Sí & No: Alexa Soto,https://www.latercera.com/paula/si-no/
Feminismo,"Isabel Plá: ""El machismo es transversal, está en la izquierda y en la derecha""",https://www.latercera.com/paula/isabel-pla-machismo-transversal-esta-la-izquierda-la-derecha/
Feminismo,Catalina Martínez: La joven rebelde tras la toma feminista del Instituto Nacional,https://www.latercera.com/paula/catalina-martinez-la-joven-rebelde-tras-la-toma-feminista-del-instituto-nacional/
Feminismo,"Carlos Peña: ""Los hombres están desconcertados""",https://www.latercera.com/paula/carlos-pena-no-no/
Manifiesto,"Manifiesto de Pauline Kantor, ministra del Deporte: ""Para el plebiscito voté por el No, pese a que mis papás eran de derecha""",https://www.latercera.com/reportajes/noticia/manifiesto-pauline-kantor-ministra-del-deporte/189704/
Agenda valórica,Breve historia de la agenda valórica,https://www.latercera.com/reportajes/noticia/columna-de-oscar-contardo-breve-historia-de-la-agenda-valorica/189726/
50 años de la primera toma de la UC,"Elena Serrano: ""Me encantaría ser joven de nuevo y estar con las cadenas en la puerta de la universidad""",https://www.latercera.com/tendencias/noticia/elena-serrano-me-encantaria-joven-nuevo-estar-las-cadenas-la-puerta-la-universidad/188761/
Cuenta Pública,"Maya Fernández le contesta a Piñera: ""Pone en tela de juicio su propia agenda de género""",https://www.latercera.com/politica/noticia/maya-fernandez-responde-dichos-pinera-pone-tela-juicio-agenda-genero/189639/
Feminismo,La cita de Piñera a las ideas feministas de Gabriela Mistral durante la cuenta pública,https://www.latercera.com/culto/2018/06/01/la-cita-pinera-a-las-ideas-feministas-gabriela-mistral-la-cuenta-publica/
Cuenta Pública,Marcha feminista en Valparaíso terminó con siete detenidos,https://www.latercera.com/nacional/noticia/primeros-incidentes-se-registran-en-marcha-feminista-en-valparaiso/188586/
Feminismo,Coordinadora de Mujeres Organizadas presenta demandas previo a cuenta pública,https://www.latercera.com/nacional/noticia/coordinadora-mujeres-organizadas-presenta-demandas-previo-cuenta-publica/187636/
Feminismo,Estudiantes feministas se toman la sede de la UDI,https://www.latercera.com/politica/noticia/estudiantes-feministas-se-toman-la-sede-la-udi/187394/
Feminismo,Confech llama a marchar mañana en Valparaíso y rompe diálogo con Gobierno,https://www.latercera.com/nacional/noticia/confech-llama-marchar-manana-valparaiso-rompe-dialogo-gobierno/187194/
EspecialesLTCuenta,"Los intentos de Piñera por abordar la ""ola feminista""",https://www.latercera.com/nacional/noticia/los-intentos-pinera-abordar-la-ola-feminista/185177/
Feminismo,Manifestantes se toman sede de la Universidad Central,https://www.latercera.com/nacional/noticia/manifestantes-se-toman-sede-la-universidad-central/186730/
Equidad de Género,Así será implementada la inclusión de estudiantes transgénero en la UC,https://www.latercera.com/nacional/noticia/asi-sera-implementaba-la-inclusion-estudiantes-transgenero-la-uc/184199/
Feminismo,Dirigentas amplían demandas feministas previo a cuenta pública de Piñera,https://www.latercera.com/nacional/noticia/dirigentas-amplian-demandas-feministas-previo-cuenta-publica-pinera/184088/
Feminismo,Los acuerdos que pusieron fin a las 78 horas de toma feminista en la UC,https://www.latercera.com/nacional/noticia/los-acuerdos-pusieron-fin-las-78-horas-toma-feminista-la-uc/183315/
feminismo,Nacimiento de un meme: Los estudiantes PUC contra la toma feminista,https://www.latercera.com/mouse/meme-estudiante-puc-toma-feminista/
Feminismo,Estudiantes deponen toma feminista en Casa Central de la Universidad Católica,https://www.latercera.com/nacional/noticia/estudiantes-deponen-toma-feminista-casa-central-la-universidad-catolica/182756/
Feminismo,Dirigentas solicitan autorización a la Intendencia para nueva marcha feminista,https://www.latercera.com/nacional/noticia/dirigentas-solicitan-autorizacion-la-intendencia-nueva-marcha-feminista/182239/
UC,Toma feminista de la UC tuvo velatón y visita de Beatriz Sánchez,https://www.latercera.com/nacional/noticia/toma-feminista-velaton-visita-beatriz-sanchez/182106/
Feminismo,"María Cristina Brieba sobre movimiento feminista: ""Las alumnas tienen que lograr que las escuchen de alguna manera""",https://www.latercera.com/nacional/noticia/maria-cristina-brieba-movimiento-feminista-las-alumnas-tienen-lograr-las-escuchen-alguna-manera/181810/
Feminismo,"Rectora de la Universidad SEK sobre movimiento feminista: ""Había que de alguna forma alzar la voz""",https://www.latercera.com/nacional/noticia/rectora-la-universidad-sek-movimiento-feminista-habia-alguna-forma-alzar-la-voz/181698/
Igualdad de género,Tres de las rectoras a la cabeza entre 56 universidades chilenas,https://www.latercera.com/nacional/noticia/las-unicas-tres-rectoras-la-cabeza-56-universidades-chilenas/181435/
Movimiento feminista,Toma en UC: rector Sánchez fija plazo para analizar un desalojo,https://www.latercera.com/nacional/noticia/toma-uc-rector-sanchez-fija-plazo-analizar-desalojo/181397/
Casa Central,"Columna de Óscar Contardo: La patria, las mujeres y la universidad",https://www.latercera.com/reportajes/noticia/la-patria-las-mujeres-la-universidad/180219/
Feminismo,Rector Sánchez se reúne con alumnas que mantienen la toma en Casa Central,https://www.latercera.com/nacional/noticia/rector-sanchez-se-reune-alumnas-mantienen-la-toma-casa-central/180972/
Manifestación,Grupo de estudiantes se manifiesta en contra de la toma en Casa Central de la UC,https://www.latercera.com/nacional/noticia/grupo-estudiantes-se-manifiesta-la-toma-casa-central-la-uc/180835/
Feminismo,"Allamand llama a acuerdo para impulsar agenda de género en el Congreso y pide ""debate cuidadoso"" por reforma a isapres",https://www.latercera.com/politica/noticia/allamand-llama-acuerdo-impulsar-agenda-genero-congreso-pide-debate-cuidadoso-reforma-isapres/180831/
Universidad Católica,Alumnas realizan histórica toma en casa central de la Universidad Católica,https://www.latercera.com/nacional/noticia/alumnas-realizan-historica-toma-casa-central-la-universidad-catolica/180645/
Feminismo,Rector Sánchez no abrirá sumario a alumnas si toma en Casa Central culmina hoy,https://www.latercera.com/nacional/noticia/rector-sanchez-no-abrira-sumario-alumnas-toma-casa-central-culmina-hoy/179819/
Discriminación,La estoica respuesta de una reina de belleza tras crudo mensaje discriminatorio,https://www.latercera.com/la-tercera-tv/noticia/la-estoica-respuesta-una-reina-belleza-tras-crudo-mensaje-discriminatorio/179746/
Javiera Mena,"Javiera Mena y denuncias de abusos: ""Están saliendo a flote miles de años de rabia de la mujer""",https://www.latercera.com/culto/2018/05/25/javiera-mena-denuncias-abusos-estan-saliendo-a-flote-miles-anos-rabia-la-mujer/
